condition,seed,kind,expected_beep,beep_count,beep_onsets_seconds,reaction_seconds,false_beep,pressed_seconds,passed,connected,maximum_button_travel,maximum_wheel_angle,all_quiet
reset_core,132017,arrive_green,False,0,[],,False,0.0,True,True,0.2612544830401668,0.0016157728888334488,True
reset_core,132018,arrive_green,False,0,[],,False,0.0,True,True,0.2532452464417959,0.0016157728888334501,True
reset_core,132019,arrive_green,False,0,[],,False,0.0,True,True,0.24393276859678445,0.0016157728888334501,True
reset_core,132020,arrive_green,False,0,[],,False,0.0,True,True,0.2585231082451249,0.0016157728888334516,True
reset_core,132021,arrive_green,False,0,[],,False,0.0,True,True,0.23519666453957866,0.0016157728888334512,True
reset_core,132022,arrive_green,False,0,[],,False,0.0,True,True,0.2509155196158399,0.0016157728888334486,True
reset_core,132023,arrive_green,False,0,[],,False,0.0,True,True,0.25484888222413643,0.00161577288883345,True
reset_core,132024,arrive_green,False,0,[],,False,0.0,True,True,0.26268629464529275,0.0016157728888334516,True
reset_core,132025,arrive_green,False,0,[],,False,0.0,True,True,0.2446450004765047,0.0016157728888334505,True
reset_core,132026,arrive_green,False,0,[],,False,0.0,True,True,0.26401590058852387,0.0016157728888334486,True
reset_core,132027,arrive_green,False,0,[],,False,0.0,True,True,0.2450085322323901,0.001615772888833449,True
reset_core,132028,arrive_green,False,0,[],,False,0.0,True,True,0.2613384713021639,0.0016157728888334508,True
reset_core,132029,arrive_green,False,0,[],,False,0.0,True,True,0.2549414865313849,0.0016157728888334475,True
reset_core,133000,stays_red,False,0,[],,False,0.0,True,True,0.13935174090175823,0.0016157728888334518,True
reset_core,133001,stays_red,False,0,[],,False,0.0,True,True,0.12017501408076216,0.0016157728888334486,True
reset_core,133002,stays_red,False,0,[],,False,0.0,True,True,0.14024230165539062,0.0016157728888334456,True
reset_core,133003,stays_red,False,0,[],,False,0.0,True,True,0.11787191673243232,0.0016157728888334497,True
reset_core,133004,stays_red,False,0,[],,False,0.0,True,True,0.13967350315687738,0.0016157728888334527,True
reset_core,133005,stays_red,False,0,[],,False,0.0,True,True,0.1293640356914588,0.001615772888833447,True
reset_core,133006,stays_red,False,0,[],,False,0.0,True,True,0.12045859167600607,0.0016157728888334501,True
reset_core,133007,stays_red,False,0,[],,False,0.0,True,True,0.11876485867374638,0.0016157728888334443,True
reset_core,133008,stays_red,False,0,[],,False,0.0,True,True,0.120262669496068,0.00161577288883345,True
reset_core,133009,stays_red,False,0,[],,False,0.0,True,True,0.1337301362043693,0.0016157728888334456,True
reset_core,133010,stays_red,False,0,[],,False,0.0,True,True,0.12073190646571343,0.00161577288883345,True
reset_core,133011,stays_red,False,0,[],,False,0.0,True,True,0.13670393444820134,0.0016157728888334527,True
reset_core,133012,stays_red,False,0,[],,False,0.0,True,True,0.12500293464360948,0.0016157728888334514,True
reset_core,133013,stays_red,False,0,[],,False,0.0,True,True,0.14317200529639612,0.0016157728888334505,True
reset_core,133014,stays_red,False,0,[],,False,0.0,True,True,0.11974451147979424,0.0016157728888334514,True
reset_core,133015,stays_red,False,0,[],,False,0.0,True,True,0.12605328499087348,0.0016157728888334523,True
reset_core,133016,stays_red,False,0,[],,False,0.0,True,True,0.1215498140426013,0.0016157728888334466,True
reset_core,133017,stays_red,False,0,[],,False,0.0,True,True,0.13150849169682569,0.0016157728888334512,True
reset_core,133018,stays_red,False,0,[],,False,0.0,True,True,0.128971606394093,0.0016157728888334518,True
reset_core,133019,stays_red,False,0,[],,False,0.0,True,True,0.1316069902453717,0.0016157728888334464,True
reset_core,133020,stays_red,False,0,[],,False,0.0,True,True,0.13235476561007137,0.00161577288883345,True
reset_core,133021,stays_red,False,0,[],,False,0.0,True,True,0.12693481372440973,0.0016157728888334482,True
reset_core,133022,stays_red,False,0,[],,False,0.0,True,True,0.13429069715178293,0.0016157728888334512,True
reset_core,133023,stays_red,False,0,[],,False,0.0,True,True,0.1346131832841542,0.0016157728888334482,True
reset_core,133024,stays_red,False,0,[],,False,0.0,True,True,0.12167866543998687,0.0016157728888334488,True
reset_core,133025,stays_red,False,0,[],,False,0.0,True,True,0.12027536295418045,0.0016157728888334462,True
reset_core,133026,stays_red,False,0,[],,False,0.0,True,True,0.127467472503474,0.0016157728888334484,True
reset_core,133027,stays_red,False,0,[],,False,0.0,True,True,0.1314569923246336,0.0016157728888334523,True
reset_core,133028,stays_red,False,0,[],,False,0.0,True,True,0.12287024768083601,0.0016157728888334445,True
reset_core,133029,stays_red,False,0,[],,False,0.0,True,True,0.14488468477913846,0.0016157728888334477,True
reset_core,134000,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.16738846342253427,0.0016157728888334508,True
reset_core,134001,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.14104796102573178,0.0016157728888334523,True
reset_core,134002,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.17452664578509422,0.0016157728888334505,True
reset_core,134003,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.19157924477236896,0.00161577288883345,True
reset_core,134004,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.20487814380253444,0.0016157728888334475,True
reset_core,134005,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.1533164704684546,0.001615772888833452,True
reset_core,134006,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.20062983252046535,0.0016157728888334482,True
reset_core,134007,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.17012225989750124,0.0016157728888334488,True
reset_core,134008,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.20052820617600842,0.0016157728888334518,True
reset_core,134009,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.19308913871158273,0.0016157728888334501,True
reset_core,134010,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.17531210508352973,0.0016157728888334503,True
reset_core,134011,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.19424716975125506,0.0016157728888334497,True
reset_core,134012,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.2017928516748805,0.001615772888833448,True
reset_core,134013,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.19747895084921022,0.0016157728888334447,True
reset_core,134014,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.13274524221442474,0.001615772888833454,True
reset_core,134015,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.19965327931969182,0.001615772888833452,True
reset_core,134016,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.16458022059914967,0.0016157728888334486,True
reset_core,134017,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.19889398332455133,0.00161577288883345,True
reset_core,134018,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.13004745920845562,0.0016157728888334503,True
reset_core,134019,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.20962388300057555,0.0016157728888334518,True
reset_core,134020,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.18545342235239964,0.001615772888833447,True
reset_core,134021,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.17978667265053486,0.0016157728888334538,True
reset_core,134022,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.17339407265196702,0.0016157728888334505,True
reset_core,134023,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.18735362239720268,0.0016157728888334477,True
reset_core,134024,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.1354156158265199,0.0016157728888334525,True
reset_core,134025,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.20246608501179028,0.0016157728888334453,True
reset_core,134026,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.19722883949611186,0.0016157728888334497,True
reset_core,134027,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.2024427516132267,0.0016157728888334462,True
reset_core,134028,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.21005758805140376,0.0016157728888334492,True
reset_core,134029,car_leaves_on_red,False,0,[],,False,0.0,True,True,0.18971284093134977,0.0016157728888334486,True
reset_core,135000,car_in_other_lane,False,0,[],,False,0.0,True,True,0.019099189150710825,0.0016157728888334497,True
reset_core,135001,car_in_other_lane,False,0,[],,False,0.0,True,True,0.006820784857555442,0.001615772888833447,True
reset_core,135002,car_in_other_lane,False,0,[],,False,0.0,True,True,0.018341846931621653,0.0016157728888334495,True
reset_core,135003,car_in_other_lane,False,0,[],,False,0.0,True,True,0.0016433662271143712,0.0016157728888334512,True
reset_core,135004,car_in_other_lane,False,0,[],,False,0.0,True,True,0.03418617355652509,0.0016157728888334534,True
reset_core,135005,car_in_other_lane,False,0,[],,False,0.0,True,True,0.018021273800027465,0.001615772888833447,True
reset_core,135006,car_in_other_lane,False,0,[],,False,0.0,True,True,0.03490906796497689,0.0016157728888334488,True
reset_core,135007,car_in_other_lane,False,0,[],,False,0.0,True,True,0.018652611853815858,0.0016157728888334458,True
reset_core,135008,car_in_other_lane,False,0,[],,False,0.0,True,True,0.0046669263089169286,0.00161577288883345,True
reset_core,135009,car_in_other_lane,False,0,[],,False,0.0,True,True,0.006580083898372404,0.001615772888833448,True
reset_core,135010,car_in_other_lane,False,0,[],,False,0.0,True,True,0.018929304869605094,0.0016157728888334492,True
reset_core,135011,car_in_other_lane,False,0,[],,False,0.0,True,True,0.033411175505069654,0.0016157728888334495,True
reset_core,135012,car_in_other_lane,False,0,[],,False,0.0,True,True,0.034050381414663336,0.0016157728888334492,True
reset_core,135013,car_in_other_lane,False,0,[],,False,0.0,True,True,0.018497406041810292,0.0016157728888334514,True
reset_core,135014,car_in_other_lane,False,0,[],,False,0.0,True,True,0.018764414662231624,0.0016157728888334523,True
reset_core,135015,car_in_other_lane,False,0,[],,False,0.0,True,True,0.028634093621004362,0.0016157728888334482,True
reset_core,135016,car_in_other_lane,False,0,[],,False,0.0,True,True,0.020328092090941784,0.0016157728888334464,True
reset_core,135017,car_in_other_lane,False,0,[],,False,0.0,True,True,0.018506691367447602,0.001615772888833451,True
reset_core,135018,car_in_other_lane,False,0,[],,False,0.0,True,True,0.018487528277327147,0.0016157728888334482,True
reset_core,135019,car_in_other_lane,False,0,[],,False,0.0,True,True,0.018967543233974978,0.001615772888833451,True
reset_core,135020,car_in_other_lane,False,0,[],,False,0.0,True,True,0.02283045455010723,0.0016157728888334482,True
reset_core,135021,car_in_other_lane,False,0,[],,False,0.0,True,True,0.03310942085290352,0.0016157728888334512,True
reset_core,135022,car_in_other_lane,False,0,[],,False,0.0,True,True,0.010981613564869805,0.0016157728888334477,True
reset_core,135023,car_in_other_lane,False,0,[],,False,0.0,True,True,0.002806702374752633,0.0016157728888334477,True
reset_core,135024,car_in_other_lane,False,0,[],,False,0.0,True,True,0.006430662876354655,0.0016157728888334464,True
reset_core,135025,car_in_other_lane,False,0,[],,False,0.0,True,True,0.017458522749763526,0.0016157728888334492,True
reset_core,135026,car_in_other_lane,False,0,[],,False,0.0,True,True,0.007431326399928227,0.00161577288883345,True
reset_core,135027,car_in_other_lane,False,0,[],,False,0.0,True,True,0.004140503594766538,0.0016157728888334503,True
reset_core,135028,car_in_other_lane,False,0,[],,False,0.0,True,True,0.007305756159756398,0.0016157728888334464,True
reset_core,135029,car_in_other_lane,False,0,[],,False,0.0,True,True,0.0024076300704111995,0.0016157728888334514,True
disconnected,130000,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130001,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130002,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130003,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130004,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130005,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130006,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130007,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130008,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130009,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130010,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130011,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130012,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130013,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130014,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130015,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130016,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130017,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130018,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130019,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130020,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130021,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130022,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130023,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130024,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130025,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130026,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130027,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130028,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,130029,wait_then_green,True,0,[],,False,0.0,False,False,0.0,4.131530976178436e-05,True
disconnected,131000,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131001,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131002,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131003,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131004,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131005,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131006,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
disconnected,131007,no_car,False,0,[],,False,0.0,True,False,0.0,4.131530976178436e-05,True
